,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sri Aman,1.2376,111.4621,77.0,94,100,1.45,MY,1612118305
1,Semnan,35.5729,53.3971,42.87,55,89,2.42,IR,1612118305
2,Albany,42.6001,-73.9662,19.0,50,100,2.93,US,1612118114
3,Nara,34.6851,135.8049,37.0,68,0,2.66,JP,1612118306
4,Stege,54.987,12.2846,34.0,10,0,12.48,DK,1612118306
5,Maimbung,5.9272,121.0294,78.78,83,100,7.63,PH,1612118307
6,Cherskiy,68.75,161.3,-22.38,80,83,6.06,RU,1612118307
7,Beringovskiy,63.05,179.3167,11.39,96,100,26.75,RU,1612118307
8,Klaksvík,62.2266,-6.589,28.4,59,40,10.36,FO,1612118308
9,Thompson,55.7435,-97.8558,14.0,85,90,2.3,CA,1612118308
10,Upernavik,72.7868,-56.1549,0.43,92,100,8.39,GL,1612118308
11,Bay Roberts,47.5999,-53.2648,34.0,100,90,18.41,CA,1612118308
12,Hamilton,39.1834,-84.5333,39.2,100,90,4.61,US,1612118243
13,Del Rio,29.3627,-100.8968,69.8,24,1,11.5,US,1612118088
14,Barrow,71.2906,-156.7887,-16.6,69,90,6.91,US,1612118309
15,Vostok,46.4856,135.8833,-7.02,90,100,3.49,RU,1612118310
16,Paamiut,61.994,-49.6678,24.22,91,0,14.88,GL,1612118310
17,Changde,29.0464,111.6783,46.85,97,100,0.89,CN,1612118310
18,Naze,28.3667,129.4833,58.44,65,3,9.31,JP,1612118311
19,Fairbanks,64.8378,-147.7164,-5.8,84,90,0.07,US,1612118311
20,Ribeira Grande,38.5167,-28.7,64.4,88,75,14.97,PT,1612118311
21,Norman Wells,65.282,-126.8329,-20.2,76,75,2.3,CA,1612118311
22,Hasaki,35.7333,140.8333,35.6,55,75,9.22,JP,1612118311
23,Marrakesh,31.6315,-8.0083,69.8,40,0,9.22,MA,1612118108
24,The Valley,18.217,-63.0578,84.2,65,40,17.27,AI,1612118312
25,Torbay,47.6666,-52.7314,33.01,100,90,18.41,CA,1612118312
26,Havøysund,70.9963,24.6622,26.6,93,90,23.02,NO,1612118312
27,Mirny,62.5353,113.9611,-35.72,83,87,3.47,RU,1612118312
28,Kapaa,22.0752,-159.319,72.0,83,40,14.97,US,1612118312
29,Hoa Binh,20.8133,105.3383,64.4,88,75,2.3,VN,1612118313
30,George Town,5.4112,100.3354,78.8,83,20,5.75,MY,1612118313
31,Kelso,46.1468,-122.9084,50.0,93,90,8.05,US,1612118314
32,Qaanaaq,77.484,-69.3632,-3.51,88,100,0.83,GL,1612118314
33,Myaundzha,63.0494,147.1858,-24.61,80,100,4.99,RU,1612118315
34,Jamestown,42.097,-79.2353,34.0,74,90,14.97,US,1612118066
35,Khatanga,71.9667,102.5,-43.37,80,37,5.97,RU,1612118315
36,Buchanan,5.8808,-10.0467,82.4,83,75,9.22,LR,1612118316
37,Cabo San Lucas,22.8909,-109.9124,71.6,73,75,4.61,MX,1612118122
38,San Jose,37.3394,-121.895,61.0,51,75,13.8,US,1612118083
39,São Filipe,14.8961,-24.4956,75.54,64,0,9.55,CV,1612118316
40,Tulun,54.5611,100.5792,-32.51,82,0,3.22,RU,1612118317
41,Juneau,58.3019,-134.4197,28.0,88,46,1.01,US,1612118275
42,Igarka,67.4667,86.5833,-16.73,88,100,17.9,RU,1612118317
43,Ponta do Sol,32.6667,-17.1,61.0,71,0,1.99,PT,1612118318
44,Esso,55.9333,158.7,6.21,88,100,6.49,RU,1612118318
45,Lázaro Cárdenas,17.9583,-102.2,82.85,64,5,8.68,MX,1612118046
46,Scottsbluff,41.8666,-103.6672,44.01,39,1,12.66,US,1612118318
47,Ouagadougou,12.3642,-1.5383,87.8,12,60,4.61,BF,1612118318
48,Kumul,42.8,93.45,25.18,79,0,7.49,CN,1612118319
49,Lata,40.1629,-8.3327,59.0,94,44,1.99,PT,1612118319
50,Northam,51.0333,-4.2167,41.0,93,100,3.0,GB,1612118319
51,Sitka,57.0531,-135.33,35.6,64,40,4.7,US,1612118319
52,Saskylakh,71.9167,114.0833,-30.91,84,65,7.85,RU,1612118320
53,Narsaq,60.9167,-46.05,39.2,30,75,26.46,GL,1612118320
54,Sengiley,53.9622,48.7944,28.4,100,90,26.84,RU,1612118320
55,Severo-Kuril'sk,50.6789,156.125,21.76,93,87,41.7,RU,1612118321
56,Deputatsky,69.3,139.9,-33.05,86,97,1.5,RU,1612118321
57,Seoul,37.5683,126.9778,42.8,87,90,4.61,KR,1612118319
58,Nikolskoye,59.7035,30.7861,25.0,93,90,8.95,RU,1612118322
59,Pevek,69.7008,170.3133,-25.94,85,100,1.54,RU,1612118322
60,Shimoda,34.6667,138.95,36.0,64,55,7.49,JP,1612118167
61,Yārāda,17.65,83.2667,77.0,83,75,3.44,IN,1612118119
62,Homer,59.6425,-151.5483,12.2,79,1,3.44,US,1612118050
63,Tasiilaq,65.6145,-37.6368,14.0,57,75,4.61,GL,1612118323
64,Bubaque,11.2833,-15.8333,78.75,70,91,12.84,GW,1612118324
65,Mrakovo,52.7161,56.6244,20.12,93,34,5.88,RU,1612118324
66,Fortuna,40.5982,-124.1573,53.01,93,90,23.02,US,1612118324
67,Yellowknife,62.456,-114.3525,-8.0,84,75,5.75,CA,1612118291
68,Hushitai,41.9322,123.5114,30.2,80,75,8.95,CN,1612118325
69,Faya,18.3851,42.4509,60.8,39,0,6.91,SA,1612118326
70,Lockhart,28.6194,-81.4426,78.8,47,20,17.27,US,1612118327
71,Hambantota,6.1241,81.1185,75.2,100,75,5.75,LK,1612118327
72,Port Blair,11.6667,92.75,79.56,80,59,11.61,IN,1612118223
73,Jumla,29.2747,82.1838,32.74,72,0,2.98,NP,1612118328
74,Arrondissement de Gap,44.6667,6.0,39.99,72,95,1.99,FR,1612118328
75,Petropavlovka,50.6114,105.3196,-23.58,76,0,4.59,RU,1612118328
76,Matara,5.9485,80.5353,75.34,87,0,5.23,LK,1612118329
77,Hilo,19.7297,-155.09,68.0,83,90,9.22,US,1612118207
78,Keffi,8.8486,7.8736,87.8,29,0,9.22,NG,1612118330
79,Los Llanos de Aridane,28.6585,-17.9182,66.2,77,20,14.97,ES,1612118330
80,Umluj,25.0213,37.2685,70.14,53,0,12.68,SA,1612118330
81,Malakal,9.5334,31.6605,81.68,18,0,6.78,SS,1612118330
82,Lompoc,34.6391,-120.4579,54.0,81,1,8.05,US,1612118061
83,Okha,53.5739,142.9478,-14.1,81,2,21.18,RU,1612118331
84,Udomlya,57.8794,34.9925,19.81,97,99,6.46,RU,1612118332
85,Leningradskiy,69.3833,178.4167,-21.62,85,91,8.9,RU,1612118332
86,Gebre Guracha,9.8,38.4,56.46,37,1,7.94,ET,1612118333
87,Flin Flon,54.7682,-101.865,15.8,86,75,1.66,CA,1612118333
88,Stephenville,32.2207,-98.2023,52.0,46,1,13.8,US,1612118334
89,Sinnamary,5.3833,-52.95,80.01,76,31,13.87,GF,1612118334
90,Atar,20.5169,-13.0499,76.19,17,12,10.63,MR,1612118334
91,Manaure,11.7751,-72.4445,87.37,51,25,25.34,CO,1612118335
92,Bethel,41.3712,-73.414,21.99,49,20,2.75,US,1612118335
93,Dali,25.7,100.1833,41.29,77,78,3.36,CN,1612118336
94,Vlorë,40.4667,19.4897,56.25,79,100,17.45,AL,1612118336
95,Tsimmerbude,54.675,20.1347,30.2,74,75,13.42,RU,1612118336
96,Nanortalik,60.1432,-45.2371,33.15,88,100,9.55,GL,1612118336
97,Lianran,24.9227,102.485,46.0,70,0,8.95,CN,1612118337
98,Hong Kong,22.2855,114.1577,64.99,77,13,9.26,HK,1612118207
99,Tahe,52.3333,124.7333,-30.08,83,59,2.59,CN,1612118337
100,Looc,12.2605,121.9926,76.19,80,99,12.66,PH,1612118337
101,Laguna,38.421,-121.4238,59.0,54,75,6.91,US,1612118337
102,Anadyr,64.75,177.4833,0.0,85,90,29.08,RU,1612118338
103,Amapá,1.0,-52.0,79.27,92,21,4.27,BR,1612118339
104,Killybegs,54.6333,-8.45,39.2,87,90,17.27,IE,1612118339
105,Zima,53.9202,102.0442,-34.01,81,0,2.66,RU,1612118339
106,Teruel,40.6667,-0.6667,62.6,66,0,20.71,ES,1612118339
107,San Quintín,30.4833,-115.95,62.01,52,97,2.13,MX,1612118340
108,Dikson,73.5069,80.5464,-28.35,78,85,8.25,RU,1612118340
109,Saint Anthony,45.0205,-93.218,33.01,74,90,6.91,US,1612118340
110,Kotovo,50.3211,44.8012,35.35,98,100,13.71,RU,1612118340
111,San Cristobal,7.7669,-72.225,91.4,35,20,20.71,VE,1612118198
112,Englehart,47.8169,-79.8664,-0.4,85,1,4.65,CA,1612118341
113,Husavik,66.0449,-17.3389,6.8,78,0,2.3,IS,1612118341
114,Zyryanka,65.75,150.85,-29.02,83,100,17.31,RU,1612118341
115,Kodinsk,58.6881,99.1844,-38.29,79,13,1.97,RU,1612118341
116,Mandalgovi,45.7625,106.2708,-12.48,78,0,19.48,MN,1612118342
117,Dauphin,51.1494,-100.0502,19.4,86,90,1.41,CA,1612118342
118,Tuktoyaktuk,69.4541,-133.0374,-31.0,75,75,2.3,CA,1612118342
119,Butaritari,3.0707,172.7902,80.76,83,13,14.12,KI,1612118342
120,Mehamn,71.0357,27.8492,26.6,86,75,13.8,NO,1612118342
121,Candelaria,13.9311,121.4233,73.0,92,46,5.99,PH,1612118343
122,Evensk,61.95,159.2333,-8.39,79,100,16.55,RU,1612118343
123,Sangar,63.9242,127.4739,-45.54,77,100,5.5,RU,1612118343
124,Thinadhoo,0.5333,72.9333,82.35,77,100,11.7,MV,1612118344
125,Mil'kovo,54.7167,158.6167,7.72,94,100,5.73,RU,1612118345
126,Dicabisagan,17.0818,122.4157,71.92,82,88,7.83,PH,1612118345
127,Varel,53.3969,8.1362,27.0,93,100,4.61,DE,1612118345
128,Tilichiki,60.4667,166.1,-9.36,92,100,19.84,RU,1612118345
129,Bhatkal,13.9667,74.5667,77.31,61,61,4.83,IN,1612118346
130,Kiryat Gat,31.61,34.7642,59.0,100,0,3.0,IL,1612118117
131,Eilat,29.5581,34.9482,68.0,45,0,4.61,IL,1612118346
132,Lavrentiya,65.5833,-171.0,-9.89,86,100,15.3,RU,1612118347
133,Pingxiang,27.6167,113.85,51.44,87,100,0.63,CN,1612118347
134,Toora-Khem,52.4675,96.11,-21.23,84,73,1.77,RU,1612118347
135,Santa Rosa,14.3122,121.1114,75.2,78,75,11.3,PH,1612118348
136,Daoukro,7.0591,-3.9631,86.68,41,76,1.41,CI,1612118348
137,Ust-Kuyga,70.0167,135.6,-37.97,80,97,4.36,RU,1612118348
138,Garoua,9.3,13.4,80.6,22,0,2.3,CM,1612118348
139,Bo Rai,12.5728,102.5371,71.38,72,21,1.07,TH,1612118349
140,Skjervøy,70.0311,20.9714,17.6,93,75,3.44,NO,1612118349
141,Amarillo,35.222,-101.8313,52.0,46,1,18.41,US,1612118121
142,Vestmannaeyjar,63.4427,-20.2734,33.8,75,40,23.02,IS,1612118350
143,Malakwal,32.5536,73.2123,54.37,41,11,5.37,PK,1612118350
144,Clarksburg,39.2807,-80.3445,37.4,93,90,5.75,US,1612118152
