City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Sri Aman,1.2376,111.4621,298.15,94,100,0.63,MY,1612117510
1,Semnan,35.5729,53.3971,279.5,54,100,1.31,IR,1612117214
2,Ushuaia,-54.8,-68.3,285.15,58,75,1.54,AR,1612117452
3,Albany,42.6001,-73.9662,264.82,52,100,1.53,US,1612117477
4,Nara,34.6851,135.8049,275.93,68,0,1.08,JP,1612117511
5,Stege,54.987,12.2846,274.26,92,0,1.34,DK,1612117511
6,Maimbung,5.9272,121.0294,298.94,85,89,2.11,PH,1612117511
7,Cherskiy,68.75,161.3,242.79,80,99,2.56,RU,1612117511
8,Beringovskiy,63.05,179.3167,261.59,96,100,10.88,RU,1612117256
9,Teahupoo,-17.8333,-149.2667,301.15,65,40,2.06,PF,1612117512
10,Gamba,-2.65,10.0,299.17,86,83,2.21,GA,1612117512
11,Mataura,-46.1927,168.8643,286.15,70,100,0.76,NZ,1612117512
12,Rikitea,-23.1203,-134.9692,299.1,66,11,4.2,PF,1612117512
13,Klaksvík,62.2266,-6.589,270.15,68,75,2.57,FO,1612117247
14,Thompson,55.7435,-97.8558,263.15,85,90,1.03,CA,1612117513
15,Upernavik,72.7868,-56.1549,255.63,92,100,3.9,GL,1612117513
16,Bay Roberts,47.5999,-53.2648,274.26,100,90,8.23,CA,1612117513
17,Port Alfred,-33.5906,26.891,293.71,81,7,0.89,ZA,1612117513
18,Hamilton,39.1834,-84.5333,277.04,100,90,2.06,US,1612117266
19,Santa Isabel Rio Negro,-0.4139,-65.0192,303.04,74,72,1.33,BR,1612117514
20,Punta Arenas,-53.15,-70.9167,287.15,54,0,12.35,CL,1612117451
21,Del Rio,29.3627,-100.8968,294.15,24,1,5.14,US,1612117514
22,Barrow,71.2906,-156.7887,246.15,69,90,3.09,US,1612117497
23,Hobart,-42.8794,147.3294,289.15,72,27,2.57,AU,1612117229
24,Hithadhoo,-0.6,73.0833,301.34,75,100,5.87,MV,1612117514
25,Talara,-4.5772,-81.2719,303.15,54,0,6.69,PE,1612117514
26,Cape Town,-33.9258,18.4232,294.82,94,90,4.12,ZA,1612117422
27,Vostok,46.4856,135.8833,250.63,87,55,1.44,RU,1612117515
28,Paamiut,61.994,-49.6678,269.11,91,0,6.51,GL,1612117515
29,Changde,29.0464,111.6783,281.44,97,100,1.39,CN,1612117515
30,Naze,28.3667,129.4833,287.73,64,5,4.32,JP,1612117263
31,Fairbanks,64.8378,-147.7164,252.59,84,90,0.17,US,1612117515
32,Ribeira Grande,38.5167,-28.7,291.15,88,75,6.69,PT,1612117339
33,Bluff,-46.6,168.3333,286.23,83,92,2.71,NZ,1612117516
34,Norman Wells,65.282,-126.8329,244.15,76,75,1.03,CA,1612117516
35,Hasaki,35.7333,140.8333,275.15,55,75,4.12,JP,1612117516
36,Marrakesh,31.6315,-8.0083,294.15,40,0,4.12,MA,1612117297
37,The Valley,18.217,-63.0578,302.15,65,40,7.72,AI,1612117401
38,Torbay,47.6666,-52.7314,273.71,100,90,8.23,CA,1612117517
39,Havøysund,70.9963,24.6622,272.15,86,75,8.23,NO,1612117298
40,Mirny,62.5353,113.9611,236.5,83,98,1.54,RU,1612117517
41,Kapaa,22.0752,-159.319,295.37,83,40,6.69,US,1612117517
42,Hoa Binh,20.8133,105.3383,291.15,88,75,1.03,VN,1612117517
43,Coquimbo,-29.9533,-71.3436,295.15,68,20,7.72,CL,1612117488
44,Ilebo,-4.3167,20.5833,297.23,78,97,0.6,CD,1612117517
45,Opuwo,-18.0607,13.84,297.7,44,95,6.42,NA,1612117518
46,George Town,5.4112,100.3354,299.82,83,20,2.57,MY,1612117518
47,Lüderitz,-26.6481,15.1594,293.12,66,0,10.76,NA,1612117232
