,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,53.6,58,75,3.44,AR,1612118306
1,Teahupoo,-17.8333,-149.2667,82.4,61,40,8.05,PF,1612118307
2,Gamba,-2.65,10.0,78.85,86,100,3.69,GA,1612118307
3,Mataura,-46.1927,168.8643,55.83,76,87,1.77,NZ,1612118307
4,Rikitea,-23.1203,-134.9692,78.8,65,1,9.95,PF,1612118307
5,Port Alfred,-33.5906,26.891,69.01,83,9,3.0,ZA,1612118308
6,Santa Isabel Rio Negro,-0.4139,-65.0192,83.79,81,99,4.9,BR,1612118309
7,Punta Arenas,-53.15,-70.9167,57.2,54,0,27.63,CL,1612118309
8,Hobart,-42.8794,147.3294,60.8,72,0,5.75,AU,1612118309
9,Hithadhoo,-0.6,73.0833,82.67,76,100,13.18,MV,1612118310
10,Talara,-4.5772,-81.2719,86.0,54,0,14.97,PE,1612118310
11,Cape Town,-33.9258,18.4232,71.01,94,90,9.22,ZA,1612118310
12,Bluff,-46.6,168.3333,55.58,81,59,5.1,NZ,1612118311
13,Coquimbo,-29.9533,-71.3436,71.6,68,20,17.27,CL,1612118045
14,Ilebo,-4.3167,20.5833,74.14,82,100,0.45,CD,1612118313
15,Opuwo,-18.0607,13.84,73.76,46,100,12.62,NA,1612118313
16,Lüderitz,-26.6481,15.1594,67.33,68,1,23.53,NA,1612118314
17,Vaini,-21.2,-175.2,77.0,94,90,8.05,TO,1612118314
18,Busselton,-33.65,115.3333,63.0,82,0,1.01,AU,1612118035
19,Castro,-24.7911,-50.0119,74.12,74,99,10.25,BR,1612118315
20,Avarua,-21.2078,-159.775,78.8,89,20,1.14,CK,1612118315
21,New Norfolk,-42.7826,147.0587,55.99,71,14,1.25,AU,1612118315
22,Atuona,-9.8,-139.0333,78.42,75,32,18.9,PF,1612118316
23,Bambous Virieux,-20.3428,57.7575,81.0,78,40,12.66,MU,1612118316
24,Puerto Ayora,-0.7393,-90.3518,84.2,70,0,8.05,EC,1612118207
25,Kalabo,-14.97,22.6814,69.87,85,100,4.68,ZM,1612118317
26,Arraial do Cabo,-22.9661,-42.0278,87.8,51,0,23.02,BR,1612118318
27,Uyuni,-20.4597,-66.825,66.52,22,0,12.59,BO,1612118319
28,Mar del Plata,-38.0023,-57.5575,64.4,68,90,17.27,AR,1612118263
29,Ipirá,-12.1583,-39.7372,87.04,44,100,12.66,BR,1612118320
30,Liwale,-9.7667,37.9333,71.19,97,100,6.04,TZ,1612118059
31,Kieta,-6.2167,155.6333,81.12,79,100,11.86,PG,1612118320
32,Mahébourg,-20.4081,57.7,80.6,78,40,12.66,MU,1612118321
33,São João da Barra,-21.6403,-41.0511,87.8,48,0,23.02,BR,1612118321
34,Isangel,-19.55,169.2667,78.24,81,34,15.23,VU,1612118321
35,Samarai,-10.6167,150.6667,82.04,75,0,14.05,PG,1612118322
36,Vao,-22.6667,167.4833,76.01,76,100,24.58,NC,1612118322
37,Cap Malheureux,-19.9842,57.6142,81.0,75,96,8.99,MU,1612118322
38,Kaitangata,-46.2817,169.8464,55.44,81,100,1.45,NZ,1612118323
39,Lorengau,-2.0226,147.2712,82.26,82,97,8.84,PG,1612118323
40,Maués,-3.3836,-57.7186,91.65,49,61,4.36,BR,1612118323
41,Grand Gaube,-20.0064,57.6608,81.0,75,80,8.99,MU,1612118324
42,Tocopilla,-22.092,-70.1979,74.32,49,4,9.89,CL,1612118324
43,Carnarvon,-24.8667,113.6333,86.0,51,52,18.41,AU,1612118325
44,Flinders,-34.5833,150.8552,68.0,90,86,1.01,AU,1612118326
45,Bredasdorp,-34.5322,20.0403,64.99,91,99,5.01,ZA,1612118102
46,Bengkulu,-3.8004,102.2655,75.56,84,100,5.03,ID,1612118329
47,Dunedin,-45.8742,170.5036,61.0,67,100,2.39,NZ,1612118261
48,Codrington,-38.2667,141.9667,51.62,89,100,5.1,AU,1612118329
49,Kalamare,-22.9337,26.5703,74.48,72,58,2.57,BW,1612118330
50,Maningrida,-12.0667,134.2667,76.86,88,100,9.24,AU,1612118330
51,Salta,-24.7859,-65.4117,73.4,64,75,6.91,AR,1612118331
52,Lebu,-37.6167,-73.65,62.08,73,0,15.84,CL,1612118331
53,Port-Gentil,-0.7193,8.7815,82.4,83,40,4.61,GA,1612118332
54,Esmeraldas,-19.7625,-44.3139,87.8,42,75,6.91,BR,1612118332
55,San Rafael,-34.6177,-68.3301,55.81,83,100,13.0,AR,1612118332
56,Sorong,-0.8833,131.25,80.29,81,100,7.45,ID,1612118333
57,Faanui,-16.4833,-151.75,81.19,73,100,9.82,PF,1612118333
58,Benguela,-12.5763,13.4055,77.45,74,90,5.26,AO,1612118333
59,Batemans Bay,-35.7167,150.1833,63.0,96,100,1.45,AU,1612118334
60,Kruisfontein,-34.0033,24.7314,72.0,74,3,8.99,ZA,1612118334
61,Caravelas,-17.7125,-39.2481,82.35,63,98,9.82,BR,1612118335
62,Port Elizabeth,-33.918,25.5701,69.8,83,0,13.8,ZA,1612118335
63,Geraldton,-28.7667,114.6,71.6,73,0,8.05,AU,1612118336
64,Saint-Philippe,-21.3585,55.7679,80.6,65,0,8.05,RE,1612118336
65,Tadine,-21.55,167.8833,75.58,80,51,19.17,NC,1612118337
66,Hermanus,-34.4187,19.2345,64.99,91,100,5.01,ZA,1612118338
67,Pitimbu,-7.4706,-34.8086,86.0,66,75,16.11,BR,1612118338
68,Hervey Bay,-25.2986,152.8535,73.99,100,6,6.91,AU,1612118340
69,Cidreira,-30.1811,-50.2056,80.46,84,100,2.68,BR,1612118341
